ProductID,Current_Hotness,Peak_Hotness,Avg_Hotness,Current_Trend,Current_Views,Peak_CheckIn_Views,Latest_Snapshot,ProductName,Active_View_Intervals,Modification_Count,Last_Modified_At,Peak_CheckIn_Date,Demand_Score
45,0.45785128832576333,0.45785128832576333,0.45785128832576333,0.5497677782712305,72.0,72.0,2026-08-17 12:52:22,BEST WESTERN PLUS Wanda Grand,9,0,,2026-08-23,29.89
46,0.5192073703137059,0.5431665339924321,0.5192073703137059,0.5304819809944894,2200.0,1158.0,2026-08-17 14:53:50,Chiva Bangkok Hotel,15,0,,2026-08-18,32.49
59,0.4147729266608297,0.42282461118890385,0.4147729266608297,0.5061217695759594,512.0,329.0,2026-08-17 23:18:04,Hotel Indigo Bangkok Wireless Road By IHG,32,7,2026-08-17 23:03:15,2026-08-19,28.79
74,0.34311470509510134,0.3435699953476903,0.34311470509510134,0.5402740596940138,14.0,7.0,2026-08-17 14:37:20,Easy Planet Bangkok Surawong,14,0,,2026-08-20,25.43
75,0.38200802844645765,0.40029740955369275,0.38200802844645765,0.5107786430153296,2516.0,529.0,2026-08-17 13:22:31,The Grand Sathorn Hotel,40,1,2026-08-17 13:22:31,2026-09-09,28.23
79,0.40678462460340886,0.47135907299597446,0.40678462460340886,0.5119136832262124,1744.0,366.0,2026-08-17 23:49:11,Ratchada Point Hotel,50,4,2026-08-17 23:33:38,2026-09-04,29.83
80,0.42844334119838884,0.43695644546377416,0.42844334119838884,0.5057201994822499,407.0,331.0,2026-08-17 23:49:11,iCheck inn Residence Sathorn,10,2,2026-08-17 23:18:04,2026-08-31,27.92
89,0.37210716188657267,0.37210716188657267,0.37210716188657267,0.5045905361093624,213.0,213.0,2026-08-17 07:00:44,Graceland Bangkok by Grace Hotel Bangkok,7,0,,2026-09-03,25.44
93,0.3693922455574008,0.3693922455574008,0.3693922455574008,0.5120289680656508,88.0,88.0,2026-08-17 13:07:27,Airy Suvarnabhumi Hotel,8,0,,2026-08-17,25.53
98,0.3957543457004061,0.4027006003807446,0.3957543457004061,0.5085692706718264,923.0,305.0,2026-08-17 14:37:20,Tara Garden,28,0,,2026-08-20,27.86
149,0.37263758942739217,0.38259174498020126,0.37263758942739217,0.5128264936182327,518.0,271.0,2026-08-17 13:37:39,Tara Lake Hotel,22,0,,2026-08-17,26.6
220,0.5107551267281706,0.5209746532033439,0.5107551267281706,0.5097614155051899,3685.0,1526.0,2026-08-17 21:18:14,Atrium Boutique Resort,73,12,2026-08-17 20:48:25,2026-08-18,35.55
237,0.39533701238926594,0.39930508159987527,0.39533701238926594,0.5155209784423904,340.0,203.0,2026-08-17 14:53:50,Grand Howard Hotel Bangkok,14,0,,2026-08-20,27.04
253,0.34545177059855026,0.34850128884261905,0.34545177059855026,0.5072523747100538,24.0,12.0,2026-08-17 20:19:27,Maruay Garden Hotel,12,0,,2026-09-09,24.73
269,0.46396066669814057,0.4897708453092985,0.46396066669814057,0.5018524175580804,3902.0,1361.0,2026-08-17 23:49:11,Holiday Inn Bangkok Silom by IHG,67,11,2026-08-17 23:33:38,2026-08-18,33.15
296,0.42640119233583945,0.4465337093496512,0.42640119233583945,0.5040963059289518,2696.0,424.0,2026-08-17 20:03:57,Novotel Bangkok Bangna,39,3,2026-08-17 01:16:32,2026-08-26,29.82
302,0.4868396409888886,0.4868396409888886,0.4868396409888886,0.5223124855487499,773.0,773.0,2026-08-17 11:20:43,Ambassador Bangkok,8,0,,2026-08-19,30.49
317,0.42800213305558493,0.49607760095414954,0.42800213305558493,0.511296408742067,10711.0,2824.0,2026-08-17 23:49:11,Avana Hotel and Convention Center,164,21,2026-08-17 23:49:11,2026-08-22,38.58
322,0.29881920616567037,0.29881920616567037,0.29881920616567037,0.5095785773884253,26.0,26.0,2026-08-17 07:14:27,Dusit Princess Srinakarin,8,0,,2026-08-17,22.66
343,0.3638773491397443,0.36418902685098203,0.3638773491397443,0.5407663484175104,32.0,16.0,2026-08-17 18:07:58,voco Bangkok Surawong by IHG,8,0,,2026-08-19,25.88
345,0.4027097633233116,0.45312319327919887,0.4027097633233116,0.5090275554641279,460.0,205.0,2026-08-17 21:48:04,Gold Orchid Bangkok,20,2,2026-08-17 19:23:15,2026-08-17,27.6
347,0.40616840833012835,0.4272967825724829,0.40616840833012835,0.44747862800848803,9.0,5.0,2026-08-17 00:02:53,Trinity Silom Hotel,2,0,,2026-08-17,25.32
387,0.36553711619891105,0.3662073239915624,0.36553711619891105,0.508084764023593,41.0,21.0,2026-08-17 14:53:50,Riverside Bangkok Hotel,2,0,,2026-09-15,24.91
404,0.4314818249754981,0.4867907202403401,0.4314818249754981,0.5119820757814676,15321.0,6867.0,2026-08-17 23:49:11,FuramaXclusive Sathorn Hotel Bangkok,91,4,2026-08-17 23:33:38,2026-09-07,34.39
408,0.3969590540700767,0.42043371601252755,0.3969590540700767,0.504108513606477,3443.0,934.0,2026-08-17 23:49:11,Citadines Sukhumvit 16 Bangkok,64,14,2026-08-17 23:03:15,2026-08-20,30.29
421,0.3651364441221503,0.39318261925450554,0.3651364441221503,0.48839670467772917,8055.0,452.0,2026-08-17 20:48:25,FuramaXclusive Sukhumvit Soi 1,140,27,2026-08-17 20:48:25,2026-09-02,33.88
434,0.4322292618228286,0.45020728587940145,0.4322292618228286,0.5116756596574138,4452.0,805.0,2026-08-17 23:49:11,Vabua Asotel Bangkok,133,16,2026-08-17 23:18:04,2026-08-23,36.33
437,0.40574886400227483,0.43713907136889624,0.40574886400227483,0.5140401472803521,2956.0,566.0,2026-08-17 21:18:14,Convenient Park Bangkok Sukhumvit,48,3,2026-08-17 19:33:58,2026-09-03,29.79
447,0.44646451634910406,0.470264268110876,0.44646451634910406,0.5110860109757773,358.0,219.0,2026-08-17 14:53:50,I Residence Hotel Sathorn,12,2,2026-08-17 13:22:31,2026-08-22,28.87
455,0.4545175861785364,0.4559528020338295,0.4545175861785364,0.5137288767521928,3070.0,775.0,2026-08-17 23:18:04,The Heritage Silom Hotel,32,0,,2026-08-28,30.72
476,0.4516247388161984,0.4516247388161984,0.4516247388161984,0.47624096289119117,290.0,290.0,2026-08-17 01:16:32,Happihaus Hotel Bangkok,5,0,,2026-08-18,27.93
