ProductID,ProductName,CheckInDate,booking_count
2001222,Rinradee Place Buriram,"Jul 28, 2026, 12:00:00 AM",1
1231,Chanalai Hillside Resort,"Dec 22, 2026, 12:00:00 AM",3
182837,The Riche Boutique Hotel,"Aug 5, 2026, 12:00:00 AM",3
5101716,Coco Beach Hotel Jomtien,"Nov 29, 2026, 12:00:00 AM",3
182837,The Riche Boutique Hotel,"Aug 15, 2026, 12:00:00 AM",2
4921213,Chatrium Grand Bangkok,"Sep 6, 2026, 12:00:00 AM",2
43850,Ratchaphruek Pavilion,"Sep 7, 2026, 12:00:00 AM",3
1231,Chanalai Hillside Resort,"Dec 23, 2026, 12:00:00 AM",2
23923,HTel Resort,"Sep 5, 2026, 12:00:00 AM",20
65581,Anna Nava Pakkret Hotel,"Aug 29, 2026, 12:00:00 AM",19
4935227,Nysa Hotel Bangkok,"Aug 29, 2026, 12:00:00 AM",2
25158,The Proud Exclusive Hotel,"Jul 26, 2026, 12:00:00 AM",5
525,Column Bangkok Hotel,"Jul 20, 2026, 12:00:00 AM",1
496,TUI BLUE Maduzi Hotel Bangkok,"Aug 14, 2026, 12:00:00 AM",5
4884544,Rangsit Residence,"Jul 22, 2026, 12:00:00 AM",2
3332,Ray Hotel Buriram,"Jul 24, 2026, 12:00:00 AM",3
43897,Roma Hotel Khonkaen,"Aug 14, 2026, 12:00:00 AM",7
63685,14 Residence,"Aug 1, 2026, 12:00:00 AM",1
317,Avana Hotel and Convention Center,"Sep 4, 2026, 12:00:00 AM",7
2000105,Aspira One Sutthisan Hotel,"Oct 4, 2026, 12:00:00 AM",1
455,The Heritage Silom Hotel,"Jan 26, 2027, 12:00:00 AM",1
23753,The Grand Wipanan Residence,"Jan 8, 2027, 12:00:00 AM",1
4921194,The Neuf Ratchada,"Dec 12, 2026, 12:00:00 AM",2
4640,Aramis Hotel Nakhon Sawan,"Jul 21, 2026, 12:00:00 AM",1
2000356,Sakura Boutique Hotel Pluakdaeng,"Sep 15, 2026, 12:00:00 AM",1
4861280,AK Terrace Hotel,"Jul 22, 2026, 12:00:00 AM",1
65581,Anna Nava Pakkret Hotel,"Aug 16, 2026, 12:00:00 AM",12
5101479,Bangkok Mystay Hotel Rangsit,"Jul 20, 2026, 12:00:00 AM",2
4921194,The Neuf Ratchada,"Dec 11, 2026, 12:00:00 AM",2
1370,AVANI Khon Kaen Hotel & Convention Centre,"Aug 2, 2026, 12:00:00 AM",2
4932895,Kritsada mansion Hatyai,"Jul 4, 2026, 12:00:00 AM",14
65672,Infinity Seesun Resort,"Jul 31, 2026, 12:00:00 AM",1
317,Avana Hotel and Convention Center,"Aug 24, 2026, 12:00:00 AM",2
317,Avana Hotel and Convention Center,"Aug 14, 2026, 12:00:00 AM",4
5102355,The Akyra Bangkok 11,"Jul 15, 2026, 12:00:00 AM",3
181639,Phurinda Residence Saraburi,"Jul 26, 2026, 12:00:00 AM",1
1530,Centara Pattaya Hotel,"Nov 27, 2026, 12:00:00 AM",6
4885023,Conbrio Resort & Sport Club,"Jul 17, 2026, 12:00:00 AM",1
2000090,S Ram Leisure Hotel,"Jul 10, 2026, 12:00:00 AM",1
1514,Windmill Resort Hotel,"Jul 7, 2026, 12:00:00 AM",2
4885023,Conbrio Resort & Sport Club,"Jul 12, 2026, 12:00:00 AM",3
5101966,Aspira Central Patong Hotel,"Aug 3, 2026, 12:00:00 AM",1
2000356,Sakura Boutique Hotel Pluakdaeng,"Jul 18, 2026, 12:00:00 AM",1
4920686,Mayuu Ayutthaya Hotel,"Aug 21, 2026, 12:00:00 AM",6
5102560,Sugar Marina Hotel -POP- Kata Beach,"Jul 18, 2026, 12:00:00 AM",1
43726,The Narathiwas Hotel & Residence Sathorn Bangkok,"Dec 30, 2026, 12:00:00 AM",3
396,The Tarntawan Hotel Surawong Bangkok,"Oct 8, 2026, 12:00:00 AM",1
25158,The Proud Exclusive Hotel,"Jul 19, 2026, 12:00:00 AM",1
43850,Ratchaphruek Pavilion,"Aug 1, 2026, 12:00:00 AM",5
317,Avana Hotel and Convention Center,"Aug 15, 2026, 12:00:00 AM",7
21582,Alexander Hotel,"Sep 22, 2026, 12:00:00 AM",2
65581,Anna Nava Pakkret Hotel,"Sep 19, 2026, 12:00:00 AM",10
181563,L Nimman Boutique Hotel,"Nov 26, 2026, 12:00:00 AM",5
63740,Gallery Lake View Hotel,"Aug 19, 2026, 12:00:00 AM",3
455,The Heritage Silom Hotel,"Feb 4, 2027, 12:00:00 AM",3
4921213,Chatrium Grand Bangkok,"Dec 31, 2026, 12:00:00 AM",4
4922724,GO Hotel Chonburi at Central Chonburi,"Aug 27, 2026, 12:00:00 AM",4
879,Sawaddi Patong Resort & Spa (formely Centara Sawaddi),"Aug 21, 2026, 12:00:00 AM",1
23753,The Grand Wipanan Residence,"Aug 13, 2026, 12:00:00 AM",1
2009936,The Royal P Phuket,"Dec 5, 2026, 12:00:00 AM",1
317,Avana Hotel and Convention Center,"Sep 5, 2026, 12:00:00 AM",8
496,TUI BLUE Maduzi Hotel Bangkok,"Aug 23, 2026, 12:00:00 AM",1
1514,Windmill Resort Hotel,"Jul 25, 2026, 12:00:00 AM",2
4857758,The Cape Boutique Hotel,"Aug 14, 2026, 12:00:00 AM",4
4920890,The Finn Hotel,"Jul 24, 2026, 12:00:00 AM",3
23937,Brique Hotel Chiangmai,"Jul 3, 2026, 12:00:00 AM",1
2005742,The Bliss Loei Living Hotel,"Oct 2, 2026, 12:00:00 AM",2
1999,Samui Verticolor,"Jul 10, 2026, 12:00:00 AM",3
5101058,The Navy House Hotel,"Aug 17, 2026, 12:00:00 AM",10
712,Kiang Haad Beach Hua Hin,"Sep 3, 2026, 12:00:00 AM",1
183560,Kantary Hotel Amata Bangpakong,"Jul 27, 2026, 12:00:00 AM",1
5101906,Kokotel Rayong Beachfront,"Jul 25, 2026, 12:00:00 AM",5
74,Easy Planet Bangkok Surawong,"Sep 24, 2026, 12:00:00 AM",1
5102473,Milton Hotel,"Jul 24, 2026, 12:00:00 AM",5
43577,Nim See Seng Hotel,"Nov 23, 2026, 12:00:00 AM",4
2005490,Kavinburi Green Hotel,"Dec 6, 2026, 12:00:00 AM",1
181597,P.A. Place Hotel Nakhonsawan,"Jul 4, 2026, 12:00:00 AM",1
5102355,The Akyra Bangkok 11,"Jul 21, 2026, 12:00:00 AM",1
183462,Eastpana 304 Executive Residence,"Jul 17, 2026, 12:00:00 AM",1
43577,Nim See Seng Hotel,"Nov 18, 2026, 12:00:00 AM",1
23923,HTel Resort,"Sep 4, 2026, 12:00:00 AM",5
177901,Arden Hotel and Residence,"Oct 27, 2026, 12:00:00 AM",2
25158,The Proud Exclusive Hotel,"Aug 7, 2026, 12:00:00 AM",2
177901,Arden Hotel and Residence,"Aug 22, 2026, 12:00:00 AM",3
675,Cross Vibe Chiang Mai Decem Hotel,"Oct 26, 2026, 12:00:00 AM",3
4920686,Mayuu Ayutthaya Hotel,"Jul 25, 2026, 12:00:00 AM",8
177901,Arden Hotel and Residence,"Oct 3, 2026, 12:00:00 AM",2
63676,Loft Mania Boutique Hotel,"Aug 1, 2026, 12:00:00 AM",5
183122,Pawa Place Ban Phai By Inpawa,"Jul 4, 2026, 12:00:00 AM",3
747,Baan Grood Arcadia Resort and Spa,"Dec 4, 2026, 12:00:00 AM",1
43726,The Narathiwas Hotel & Residence Sathorn Bangkok,"Dec 29, 2026, 12:00:00 AM",2
4921194,The Neuf Ratchada,"Dec 23, 2026, 12:00:00 AM",2
43850,Ratchaphruek Pavilion,"Jul 17, 2026, 12:00:00 AM",4
43603,V-Verve Service Apartment,"Jul 23, 2026, 12:00:00 AM",3
1530,Centara Pattaya Hotel,"Nov 28, 2026, 12:00:00 AM",8
4977974,Holiday Inn Express Rayong Map Ta Phut,"Aug 22, 2026, 12:00:00 AM",3
4921378,Tonfern Hotel Khonkaen,"Jul 18, 2026, 12:00:00 AM",2
4851257,Hotel Kuretakeso Thailand Sriracha,"Aug 6, 2026, 12:00:00 AM",1
183414,Clover Hotel Hatyai,"Sep 18, 2026, 12:00:00 AM",2
4885023,Conbrio Resort & Sport Club,"Jul 9, 2026, 12:00:00 AM",2
1068,iCheck inn Central Patong,"Sep 3, 2026, 12:00:00 AM",1
5101714,G9 Hotel Kanchanaburi,"Jul 28, 2026, 12:00:00 AM",8
4922703,GO Hotel Si Racha at Central Si Racha,"Jul 18, 2026, 12:00:00 AM",8
2007470,The Smart Hotel Hatyai,"Dec 23, 2026, 12:00:00 AM",2
4918063,Thongchen Residence,"Jul 15, 2026, 12:00:00 AM",1
177901,Arden Hotel and Residence,"Aug 14, 2026, 12:00:00 AM",1
4918063,Thongchen Residence,"Sep 1, 2026, 12:00:00 AM",2
43668,Elite Residence Phitsanulok,"Jul 6, 2026, 12:00:00 AM",2
63739,Tonwa Resort,"Jul 4, 2026, 12:00:00 AM",8
4918110,101 Hotel Roi Et,"Aug 11, 2026, 12:00:00 AM",3
21582,Alexander Hotel,"Dec 2, 2026, 12:00:00 AM",5
183165,Lotte Hotel Yangon,"Jul 27, 2026, 12:00:00 AM",4
746,ibis Huahin,"Oct 11, 2026, 12:00:00 AM",1
138013,Green Park Hotel Mahasarakham,"Oct 23, 2026, 12:00:00 AM",2
137967,The Original Orange Hotel,"Sep 9, 2026, 12:00:00 AM",5
232,FX Hotel Metrolink Makkasan,"Aug 21, 2026, 12:00:00 AM",4
21378,Hug Nimman Hotel Chiang Mai,"Dec 4, 2026, 12:00:00 AM",2
4921194,The Neuf Ratchada,"Sep 11, 2026, 12:00:00 AM",4
2001054,Jasmine Resort Sriracha,"Aug 7, 2026, 12:00:00 AM",2
25158,The Proud Exclusive Hotel,"Jul 10, 2026, 12:00:00 AM",8
43827,Buri Sriphu Hotel,"Sep 16, 2026, 12:00:00 AM",2
4884349,Livist Resort Phetchabun,"Jul 25, 2026, 12:00:00 AM",5
4883872,The Chess hotel,"Aug 21, 2026, 12:00:00 AM",4
1844,Sunee Grand Hotel,"Nov 23, 2026, 12:00:00 AM",2
43668,Elite Residence Phitsanulok,"Jul 13, 2026, 12:00:00 AM",2
63458,P.A. Ville Hotel Nakhon Sawan,"Jul 24, 2026, 12:00:00 AM",4
25158,The Proud Exclusive Hotel,"Jul 14, 2026, 12:00:00 AM",4
4921090,AT Apartment,"Aug 29, 2026, 12:00:00 AM",5
4921194,The Neuf Ratchada,"Dec 25, 2026, 12:00:00 AM",2
4901456,PLAAI Plus Hotel Rayong,"Jul 27, 2026, 12:00:00 AM",3
183606,Top View Hotel Sriracha,"Jul 4, 2026, 12:00:00 AM",6
183609,The Square Rayong,"Jul 11, 2026, 12:00:00 AM",1
5101720,L2 Premium,"Aug 14, 2026, 12:00:00 AM",3
177901,Arden Hotel and Residence,"Aug 27, 2026, 12:00:00 AM",1
23937,Brique Hotel Chiangmai,"Aug 8, 2026, 12:00:00 AM",2
4921194,The Neuf Ratchada,"Aug 7, 2026, 12:00:00 AM",3
43660,STAR 3 Serviced Apartment,"Dec 7, 2026, 12:00:00 AM",1
747,Baan Grood Arcadia Resort and Spa,"Jul 29, 2026, 12:00:00 AM",2
22359,Le Cassia Hotel,"Jul 25, 2026, 12:00:00 AM",6
65581,Anna Nava Pakkret Hotel,"Aug 9, 2026, 12:00:00 AM",4
4258229,Prompiman Sisaket Hotel,"Jul 25, 2026, 12:00:00 AM",1
1999,Samui Verticolor,"Aug 8, 2026, 12:00:00 AM",1
43826,Srilamduan Hotel Srisaket,"Jul 14, 2026, 12:00:00 AM",2
4920701,Glory Wabi Sabi Hotel,"Aug 13, 2026, 12:00:00 AM",3
484,The Heritage Hotel Sathorn,"Jul 25, 2026, 12:00:00 AM",1
4921072,The Bedrooms Boutique Hotel Bangkok,"Aug 23, 2026, 12:00:00 AM",2
177901,Arden Hotel and Residence,"Aug 5, 2026, 12:00:00 AM",2
2004729,Chodkamon Place 57,"Sep 8, 2026, 12:00:00 AM",6
183161,W Sotel Songkhla,"Sep 4, 2026, 12:00:00 AM",4
4884391,Baankoonmae Boulevard Hotel  Kuchinarai,"Jul 10, 2026, 12:00:00 AM",1
5101640,Bear & Bird Hotel,"Jul 24, 2026, 12:00:00 AM",3
63574,The Nest Hotel Phichit,"Aug 1, 2026, 12:00:00 AM",7
4890153,JB Place Hotel Ban Phaeng,"Oct 12, 2026, 12:00:00 AM",1
4885023,Conbrio Resort & Sport Club,"Jul 16, 2026, 12:00:00 AM",7
4921121,Sleep hotel Chachoengsao,"Jul 23, 2026, 12:00:00 AM",3
1999,Samui Verticolor,"Jul 17, 2026, 12:00:00 AM",1
63740,Gallery Lake View Hotel,"Jul 15, 2026, 12:00:00 AM",3
4865,City Hotel Krabi,"Dec 6, 2026, 12:00:00 AM",1
181648,Sp & K Apartment,"Jul 25, 2026, 12:00:00 AM",6
4920619,VST Punnawithi,"Aug 10, 2026, 12:00:00 AM",1
43668,Elite Residence Phitsanulok,"Jul 17, 2026, 12:00:00 AM",1
63672,Madina Hotel Rayong,"Jul 26, 2026, 12:00:00 AM",2
25158,The Proud Exclusive Hotel,"Jul 17, 2026, 12:00:00 AM",4
5101906,Kokotel Rayong Beachfront,"Aug 14, 2026, 12:00:00 AM",3
317,Avana Hotel and Convention Center,"Aug 7, 2026, 12:00:00 AM",3
182,Furama Silom Bangkok,"Oct 24, 2026, 12:00:00 AM",1
4920686,Mayuu Ayutthaya Hotel,"Sep 4, 2026, 12:00:00 AM",4
22189,The Heritage Pattaya Beachfront Resort,"Oct 13, 2026, 12:00:00 AM",1
263,NH Bangkok Sukhumvit Boulevard,"Dec 16, 2026, 12:00:00 AM",2
181635,Blue Rabbit Hotel Chanthaburi,"Aug 8, 2026, 12:00:00 AM",1
137926,Feel@Home Place,"Jul 7, 2026, 12:00:00 AM",3
455,The Heritage Silom Hotel,"Dec 31, 2026, 12:00:00 AM",3
4884346,Thammachart Resort,"Jul 4, 2026, 12:00:00 AM",6
4918110,101 Hotel Roi Et,"Aug 21, 2026, 12:00:00 AM",1
2007815,Ac Sport Center Hotel,"Aug 23, 2026, 12:00:00 AM",1
4921194,The Neuf Ratchada,"Aug 26, 2026, 12:00:00 AM",2
43897,Roma Hotel Khonkaen,"Dec 18, 2026, 12:00:00 AM",1
4884213,Benjaphorn Grandview Hotel,"Jul 24, 2026, 12:00:00 AM",1
4922703,GO Hotel Si Racha at Central Si Racha,"Jul 28, 2026, 12:00:00 AM",5
263,NH Bangkok Sukhumvit Boulevard,"Oct 18, 2026, 12:00:00 AM",2
