ProductID,ProductName,Cost Direct,stayDate,Market Margin Gap
2005082,Kanavera House,800,"Jul 26, 2026",0.9999160765801673
2006014,Jasaen Hotel,400,"Jul 21, 2026",0.7532004731117612
137961,Huahin Terminal,420,"Jul 20, 2026",0.7522191101356296
2006014,Jasaen Hotel,400,"Jul 20, 2026",0.7515118234330549
23937,Brique Hotel Chiangmai,1100,"Jul 25, 2026",0.7424026340501605
137961,Huahin Terminal,500,"Jul 22, 2026",0.7387510079943871
137961,Huahin Terminal,500,"Jul 21, 2026",0.7359308274704444
65632,Warmwell Hotel (Formerly Warm Well Kanchanaburi),500,"Jul 23, 2026",0.7057438794726922
2000242,Khonkaen Residence,950,"Jul 25, 2026",0.7025472458637517
2006014,Jasaen Hotel,560,"Jul 21, 2026",0.6936542669584245
138126,H2 Hotel Sathorn,900,"Jul 24, 2026",0.6904301644848022
2006319,Rain Tree Khao Yai Hotel,1400,"Jul 22, 2026",0.6891447396129601
5102411,The Princess Beachfront Resort,1100,"Jul 26, 2026",0.6713649403620899
2006014,Jasaen Hotel,560,"Jul 26, 2026",0.6698308238101632
65470,La Belle Hotel Chiangrai,480,"Jul 23, 2026",0.6673683760884932
5102520,RoomQuest The Beach Kalim Patong,600,"Jul 22, 2026",0.6655037977561784
5102520,RoomQuest The Beach Kalim Patong,600,"Jul 23, 2026",0.6655037977561784
2008215,Levana Hotel Pattaya,1300,"Jul 23, 2026",0.6653116077657951
2008215,Levana Hotel Pattaya,1300,"Jul 21, 2026",0.6653116077657925
2008215,Levana Hotel Pattaya,1300,"Jul 20, 2026",0.6653116077657925
2008215,Levana Hotel Pattaya,1300,"Jul 22, 2026",0.6653116077657925
138126,H2 Hotel Sathorn,800,"Jul 22, 2026",0.6637284943863324
138126,H2 Hotel Sathorn,800,"Jul 23, 2026",0.6637284943863263
138126,H2 Hotel Sathorn,800,"Jul 21, 2026",0.6637284943863224
65470,La Belle Hotel Chiangrai,480,"Jul 21, 2026",0.6606810573407984
2000105,Aspira One Sutthisan Hotel,1100,"Jul 24, 2026",0.6604487632617912
65470,La Belle Hotel Chiangrai,480,"Jul 20, 2026",0.6603701387364477
5102411,The Princess Beachfront Resort,1200,"Jul 25, 2026",0.6480496700013411
180998,Ratana Hotel Rassada,930,"Jul 25, 2026",0.6211899458997477
5102411,The Princess Beachfront Resort,1100,"Jul 23, 2026",0.6111198099917047
4884948,Rabbit Hotel Phimai,550,"Jul 24, 2026",0.6032501091733611
5102411,The Princess Beachfront Resort,1100,"Jul 22, 2026",0.6004501051474578
182858,Rajthani Hotel Suratthani,520,"Jul 22, 2026",0.5994649713136231
5102411,The Princess Beachfront Resort,1100,"Jul 21, 2026",0.5959350028144292
5102411,The Princess Beachfront Resort,1100,"Jul 20, 2026",0.5940668504775573
2006319,Rain Tree Khao Yai Hotel,1400,"Jul 23, 2026",0.5913314468464016
4884948,Rabbit Hotel Phimai,450,"Jul 23, 2026",0.5885008069450386
2006014,Jasaen Hotel,560,"Jul 20, 2026",0.5853143622643378
2005897,Green Apple Villa,890,"Jul 25, 2026",0.5696654935672202
2006014,Jasaen Hotel,560,"Jul 22, 2026",0.5632680253451403
4977974,Holiday Inn Express Rayong Map Ta Phut,1200,"Jul 21, 2026",0.5542281525011765
2006014,Jasaen Hotel,560,"Jul 23, 2026",0.5527156549520766
505,JC Kevin Sathorn Bangkok Hotel,2200,"Jul 24, 2026",0.5436413684950745
4868069,T Park Pakchong,600,"Jul 20, 2026",0.5332016287717315
5102411,The Princess Beachfront Resort,1200,"Jul 24, 2026",0.5306681326800967
4921072,The Bedrooms Boutique Hotel Bangkok,1050,"Jul 21, 2026",0.5306159353680443
65472,We Grand Ever 9,1299,"Jul 21, 2026",0.5209432519472132
138126,H2 Hotel Sathorn,800,"Jul 20, 2026",0.5177053841551456
183478,Eco Inn Prime Nakhon Si Thammarat,750,"Jul 24, 2026",0.5021138993957532
4933170,C Hotel Bangna,750,"Jul 21, 2026",0.5019892717683336
65472,We Grand Ever 9,900,"Jul 23, 2026",0.5015093190063419
65472,We Grand Ever 9,900,"Jul 21, 2026",0.5013852081783898
65472,We Grand Ever 9,900,"Jul 20, 2026",0.5011724467590435
181641,Rueanchorfa Hotel,550,"Jul 23, 2026",0.4985455520276185
181641,Rueanchorfa Hotel,550,"Jul 24, 2026",0.4985073437893886
181641,Rueanchorfa Hotel,550,"Jul 22, 2026",0.4979342202157912
5070984,Dusit Princess Phatthalung,1550,"Jul 24, 2026",0.49538329843635204
63463,River Hotel Nakhon Pathom,800,"Jul 26, 2026",0.49337117447547274
4932332,S Club & Hotel,600,"Jul 26, 2026",0.48966079483391056
4933170,C Hotel Bangna,750,"Jul 20, 2026",0.4800793805217951
4977974,Holiday Inn Express Rayong Map Ta Phut,1200,"Jul 22, 2026",0.47975496345780483
181641,Rueanchorfa Hotel,550,"Jul 21, 2026",0.47432286230286685
4868069,T Park Pakchong,600,"Jul 26, 2026",0.4741400077922998
4868069,T Park Pakchong,600,"Jul 25, 2026",0.4714956158442012
4920885,Good Nine Hotel,700,"Jul 23, 2026",0.4709961070509177
4578,A-Te Chumphon Hotel,1500,"Jul 25, 2026",0.46946699862017816
4936660,Chor Grande Resort,750,"Jul 25, 2026",0.4672311648457742
2006014,Jasaen Hotel,720,"Jul 23, 2026",0.4650817236255572
4868069,T Park Pakchong,600,"Jul 22, 2026",0.46327089484161615
5102478,Sook Hansa @ Phangkhon Hotel,550,"Jul 20, 2026",0.45971433623450364
5101840,Unya Hotel Ubon,1100,"Jul 22, 2026",0.4554731039313208
5102478,Sook Hansa @ Phangkhon Hotel,550,"Jul 24, 2026",0.45474372955289055
2009950,Suntria Hotel Pattaya,776,"Jul 25, 2026",0.4537728062059936
183651,Xanadu Hotel U Tapao,550,"Jul 24, 2026",0.45360542359790273
4884948,Rabbit Hotel Phimai,450,"Jul 24, 2026",0.4531875258558675
5102478,Sook Hansa @ Phangkhon Hotel,550,"Jul 21, 2026",0.4492705288205357
4920885,Good Nine Hotel,700,"Jul 22, 2026",0.44919124162340607
4879476,CS Klongtoey Grand Resort,500,"Jul 24, 2026",0.4489715566316669
4921072,The Bedrooms Boutique Hotel Bangkok,1050,"Jul 25, 2026",0.4482350519105036
65472,We Grand Ever 9,800,"Jul 22, 2026",0.44718548309078576
65472,We Grand Ever 9,800,"Jul 21, 2026",0.4470269582051372
65472,We Grand Ever 9,800,"Jul 20, 2026",0.4460501003398685
65472,We Grand Ever 9,800,"Jul 23, 2026",0.44494553528064923
183651,Xanadu Hotel U Tapao,550,"Jul 22, 2026",0.44321745058181655
183651,Xanadu Hotel U Tapao,550,"Jul 23, 2026",0.44321745058181655
5102648,The Nest Residence,550,"Jul 20, 2026",0.4429609731441599
5102648,The Nest Residence,550,"Jul 25, 2026",0.4414893899853129
5102648,The Nest Residence,550,"Jul 23, 2026",0.4414893899853129
4920885,Good Nine Hotel,700,"Jul 20, 2026",0.44124865490807347
5102648,The Nest Residence,550,"Jul 24, 2026",0.44117818923067254
5102648,The Nest Residence,550,"Jul 22, 2026",0.44117818923067254
4884948,Rabbit Hotel Phimai,550,"Jul 25, 2026",0.4407305364555639
4879476,CS Klongtoey Grand Resort,500,"Jul 25, 2026",0.4402832280675267
5102648,The Nest Residence,550,"Jul 21, 2026",0.43566135481837653
182874,Zada Residence Korat,750,"Jul 20, 2026",0.43543243014602107
4920885,Good Nine Hotel,700,"Jul 21, 2026",0.43369597438259105
2010722,NongHan Grand hotel and resort,700,"Jul 23, 2026",0.43354873809329864
5101761,Journeyhub Sukhumvit 26 Bangkok,1140,"Jul 26, 2026",0.4333764954612
5101790,Prae Resort,400,"Jul 20, 2026",0.43136979994928853
1763,Ayara Grand Palace Hotel,800,"Jul 24, 2026",0.4310689638741048
1763,Ayara Grand Palace Hotel,800,"Jul 26, 2026",0.430749686751914
1763,Ayara Grand Palace Hotel,800,"Jul 20, 2026",0.4303355453237034
1763,Ayara Grand Palace Hotel,800,"Jul 23, 2026",0.4301055677206565
1763,Ayara Grand Palace Hotel,800,"Jul 25, 2026",0.4300927351445698
5101790,Prae Resort,400,"Jul 23, 2026",0.4272459119676969
5101790,Prae Resort,400,"Jul 21, 2026",0.42724591196769596
4868069,T Park Pakchong,600,"Jul 23, 2026",0.4260295594776841
4868069,T Park Pakchong,600,"Jul 21, 2026",0.4258373205741625
5102312,The Aiyararin,600,"Jul 20, 2026",0.4224049134088699
5102312,The Aiyararin,600,"Jul 25, 2026",0.4224049134088699
5102312,The Aiyararin,600,"Jul 24, 2026",0.4224049134088699
5102312,The Aiyararin,600,"Jul 22, 2026",0.4224049134088696
5102312,The Aiyararin,600,"Jul 23, 2026",0.4224049134088696
43674,The Grace Residence Surin,470,"Jul 26, 2026",0.42140026594809366
750,Riche Hua Hin Hotel,900,"Jul 23, 2026",0.4200918832193921
183307,The Canal 304 Hotel & Residence,1050,"Jul 26, 2026",0.4186715628756236
183307,The Canal 304 Hotel & Residence,1050,"Jul 23, 2026",0.41851332276984843
183307,The Canal 304 Hotel & Residence,1050,"Jul 21, 2026",0.41847952876101124
183307,The Canal 304 Hotel & Residence,1050,"Jul 22, 2026",0.4184603688268206
4921072,The Bedrooms Boutique Hotel Bangkok,1050,"Jul 26, 2026",0.41802349137636036
2011731,Icon Park Hotel Chiang Mai,1300,"Jul 25, 2026",0.41776496065679647
183307,The Canal 304 Hotel & Residence,1050,"Jul 25, 2026",0.41723902467039586
181542,Satun Boutique Resort,550,"Jul 22, 2026",0.4165552175938767
5101931,Samutprakarn Hotel,825,"Jul 23, 2026",0.4144446594920986
2009815,B-your home Hotel Donmueang Airport Bangkok,900,"Jul 26, 2026",0.4138990327099991
21395,Laplaya Boutique Resort,1000,"Jul 26, 2026",0.4138620395881393
183651,Xanadu Hotel U Tapao,550,"Jul 21, 2026",0.4133166867282142
63712,Rongsang Resort,1000,"Jul 26, 2026",0.4132551991739739
183307,The Canal 304 Hotel & Residence,1050,"Jul 24, 2026",0.4128063628547364
183307,The Canal 304 Hotel & Residence,1050,"Jul 20, 2026",0.412640234874287
4915585,Huern Kan Thong Hotel,690,"Jul 23, 2026",0.41238473948722654
4915585,Huern Kan Thong Hotel,690,"Jul 24, 2026",0.4123719053918128
4915585,Huern Kan Thong Hotel,690,"Jul 22, 2026",0.4122049780272619
4915585,Huern Kan Thong Hotel,690,"Jul 21, 2026",0.412204978027218
63712,Rongsang Resort,1000,"Jul 20, 2026",0.4097868534931363
4896898,Luxe Villa Chiang Rai,800,"Jul 21, 2026",0.40965759037799243
4896898,Luxe Villa Chiang Rai,800,"Jul 22, 2026",0.40929440066898354
5101931,Samutprakarn Hotel,1200,"Jul 22, 2026",0.4092453108846551
4896898,Luxe Villa Chiang Rai,800,"Jul 23, 2026",0.40883815191830464
181542,Satun Boutique Resort,550,"Jul 25, 2026",0.4064411846258266
181542,Satun Boutique Resort,550,"Jul 24, 2026",0.4057100376080445
181542,Satun Boutique Resort,550,"Jul 26, 2026",0.40554385542151683
21395,Laplaya Boutique Resort,1000,"Jul 22, 2026",0.4041815013496913
2006319,Rain Tree Khao Yai Hotel,1400,"Jul 21, 2026",0.4030907633274018
4915585,Huern Kan Thong Hotel,690,"Jul 25, 2026",0.4018640732120176
4759,Ariston Hotel Bangkok,1600,"Jul 24, 2026",0.4012247800841151
4884948,Rabbit Hotel Phimai,450,"Jul 22, 2026",0.4007585288455819
2000356,Sakura Boutique Hotel Pluakdaeng,550,"Jul 26, 2026",0.40007425782799905
2000356,Sakura Boutique Hotel Pluakdaeng,550,"Jul 23, 2026",0.39862648884929935
2005897,Green Apple Villa,790,"Jul 26, 2026",0.3985813684520839
2001097,Rattana Pura Beach Resort,1800,"Jul 24, 2026",0.3984265785444552
181542,Satun Boutique Resort,550,"Jul 21, 2026",0.3978603130902306
4896898,Luxe Villa Chiang Rai,800,"Jul 20, 2026",0.397821069404445
152876,Paskon Boutique Resort,450,"Jul 21, 2026",0.397725869081754
43674,The Grace Residence Surin,470,"Jul 24, 2026",0.39664860882755054
2000356,Sakura Boutique Hotel Pluakdaeng,550,"Jul 25, 2026",0.39631522844846523
4977974,Holiday Inn Express Rayong Map Ta Phut,1200,"Jul 20, 2026",0.39580722614745517
