Destination,Latitude,Longitude
Amnart Charoen,15.85851,104.62883
Ang Thong,14.58839,100.45283
Bangkok,13.75250,100.49400
Bungkan,18.36303,103.65194
Buriram,14.99433,103.10392
Chachoengsao,13.68820,101.07156
Chainat,15.18636,100.12353
Chaiyaphum,15.81047,102.02881
Chanthaburi,12.60961,102.10447
Chiang Mai,18.79038,98.98468
Chiang Rai,19.90858,99.83250
Chonburi,13.36220,100.98345
Chumphon,10.49570,99.17971
Kalasin,16.43281,103.50658
Kamphaeng Phet,16.48344,99.52153
Kanchanaburi,14.00412,99.54832
Khon Kaen,16.44671,102.83300
Krabi,8.07257,98.91052
Lampang,18.29232,99.49277
Lamphun,18.58054,99.00745
Loei,17.49052,101.72749
Lop Buri,14.79808,100.65397
Mae Hong Son,19.30029,97.96852
Maha Sarakham,16.18483,103.30067
Mukdahan,16.54531,104.72351
Nakhon Nayok,14.20463,101.21295
Nakhon Pathom,13.81960,100.04427
Nakhon Phanom,17.41081,104.77856
Nakhon Sawan,15.70472,100.13717
Nakhon Si Thammarat,8.43333,99.96667
Nakhonratchasima,14.97066,102.10196
Nan,18.78378,100.77899
Narathiwat,6.42639,101.82308
Nong Bua Lamphu,17.20406,102.44068
Nong Khai,17.87847,102.74200
Nonthaburi,13.86075,100.51477
Pathum Thani,14.01346,100.53049
Pattani,6.86814,101.25009
Phang Nga,8.45091,98.52985
Phattalung,7.61786,100.07792
Phayao,19.19203,99.87883
Phetchabun,16.41904,101.16056
Phetchaburi,13.11189,99.94467
Phichit,16.44184,100.34879
Phitsanulok,16.82481,100.25858
Phra Nakhon Si Ayutthaya,14.35167,100.57739
Phrae,18.14589,100.14103
Phuket,7.89059,98.39810
Prachin Buri,14.04992,101.36864
Prachuapkhirikhan,11.82098,99.78410
Ranong,9.96583,98.63476
Ratchaburi,13.53671,99.81712
Rayong,12.68095,101.25798
Roi Et,16.05670,103.65309
Sa Kaeo,13.81411,102.07222
Sakon Nakhon,17.16116,104.14725
Samut Prakan,13.59760,100.59720
Samut Sakhon,13.54753,100.27362
Samut Songkhram,13.41456,100.00264
Saraburi,14.53333,100.91667
Satun,6.62314,100.06676
Si Sa Ket,15.11481,104.32938
Sing Buri,14.88786,100.40464
Songkhla,7.19882,100.59510
Sukhothai,17.00778,99.82300
Suphan Buri,14.47418,100.12218
Surat Thani,9.14011,99.33311
Surin,14.88181,103.49364
Tak,16.86968,99.12898
Trang,7.55633,99.61141
Trat,12.24364,102.51514
Ubon Ratchathani,15.23844,104.84866
Udon Thani,17.41567,102.78589
Uthai Thani,15.37939,100.02450
Uttaradit,17.62557,100.09421
Yala,6.53995,101.28128
Yasothon,15.79408,104.14510
